公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,最低年限,经验,最低工资,月最低工资
霍尔果斯旗发信息技术有限公司上海分公司,旗发科技,150-500人,上市公司,杨浦区,大数据开发工程师,1-3年,本科,15k-25k,"待遇优厚,环境优美,上市公司,扁平管理","['1', '3']",1,"['15', '25']",15
上海飞奥信息技术服务有限公司,上海飞奥,15-50人,未融资,浦东新区,大数据实施工程师,1-3年,大专,7k-8k,"工业物联网,大数据,年终奖,五险一金","['1', '3']",1,"['7', '8']",7
上海音智达信息技术有限公司,音智达,500-2000人,未融资,长宁区,大数据开发工程师,3-5年,本科,10k-20k,"发展前景好,优秀团队,专业培训,带薪年假","['3', '5']",3,"['10', '20']",10
宁波嘉德国际货运代理有限公司,嘉德,15-50人,未融资,浦东新区,大数据开发工程师,3-5年,本科,25K-40K,"企业前景好,创始人优秀,薪资高","['3', '5']",3,"['25', '40']",25
竹筏科技（北京）有限公司,竹筏科技,50-150人,不需要融资,徐汇区,大数据运维工程师,1-3年,本科,10k-20k,"公司福利好,团队氛围佳","['1', '3']",1,"['10', '20']",10
杭州财米科技有限公司,挖财,500-2000人,C轮,浦东新区,资深大数据研发工程师-上海-01116,3-5年,本科,20k-35k,弹性工作、六险一金、晋升空间,"['3', '5']",3,"['20', '35']",20
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,高级/资深大数据开发工程师（上海）,3-5年,本科,25k-50k,"福利好,奖金多,技术牛人多,平台大","['3', '5']",3,"['25', '50']",25
上海明化科技有限公司,买原料,15-50人,天使轮,浦东新区,大数据开发工程师,不限,本科,10k-20k,"成熟,稳定,高奖金,地铁",[],0,"['10', '20']",10
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,浦东新区,大数据开发工程师,1-3年,本科,15k-30k,"薪资优待,福利完善","['1', '3']",1,"['15', '30']",15
上海七牛信息技术有限公司,七牛云,150-500人,D轮及以上,浦东新区,大数据开发工程师,3-5年,本科,17k-34k,"六险一金,免费健身,弹性工作,团建旅游","['3', '5']",3,"['17', '34']",17
上海翡鹿信息技术服务有限公司,上海翡鹿信息技术服务有限公司,50-150人,不需要融资,浦东新区,大数据开发工程师,3-5年,本科,15k-30k,"五险一金,年终奖,绩效奖金,房补","['3', '5']",3,"['15', '30']",15
上海寻梦信息技术有限公司,拼多多,500-2000人,C轮,长宁区,大数据运维工程师,3-5年,本科,20k-40k,"年底双薪,绩效奖金多,免费工作餐,免费住宿","['3', '5']",3,"['20', '40']",20
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,大数据产品研发工程师,3-5年,本科,15k-30k,"福利多,平台广,机会多","['3', '5']",3,"['15', '30']",15
上海你我贷互联网金融信息服务有限公司,上海你我贷互联网金融信息服务,2000人以上,未融资,浦东新区,大数据研发工程师,3-5年,本科,18k-28k,平台大，领导好，五险一金，年终奖,"['3', '5']",3,"['18', '28']",18
上海知助数据科技有限公司,知助数据,少于15人,天使轮,浦东新区,大数据算法工程师,不限,硕士,20k-30k,"发展空间大,硅谷团队",[],0,"['20', '30']",20
北京优帆科技有限公司,青云,150-500人,D轮及以上,黄浦区,大数据产品研发工程师,3-5年,本科,15k-30k,"福利多多,技术大牛,时间弹性,发展空间","['3', '5']",3,"['15', '30']",15
上海萌店信息科技有限公司,微盟,2000人以上,D轮及以上,宝山区,大数据运维工程师,3-5年,大专,13k-26k,"公司前景好,发展空间大","['3', '5']",3,"['13', '26']",13
苏州盈衍友诚信息科技有限公司,美好分期,150-500人,A轮,黄浦区,大数据开发工程师,1-3年,本科,15k-25k,"五险一金,年终福利,带薪年假,定期体检","['1', '3']",1,"['15', '25']",15
上海艾融软件股份有限公司,艾融股份,500-2000人,上市公司,浦东新区,大数据开发工程师,1-3年,本科,8k-15k,"五险一金,带薪年假,餐饮补贴","['1', '3']",1,"['8', '15']",8
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,浦东新区,大数据开发工程师,1-3年,大专,10k-18k,"核心部门,新团队","['1', '3']",1,"['10', '18']",10
上海韬安信息技术有限公司,韬安,少于15人,不需要融资,宝山区,大数据开发工程师,3-5年,本科,10k-20k,"大数据,分布式,spark,hbase","['3', '5']",3,"['10', '20']",10
上海爱可生信息技术股份有限公司,爱可生,150-500人,B轮,徐汇区,大数据高级工程师,5-10年,本科,13k-25k,"新三板,技术大牛,团建活动","['5', '10']",5,"['13', '25']",13
江苏模宝电子商务有限公司,模宝商城,50-150人,A轮,杨浦区,大数据开发,5-10年,本科,30k-60k,"云计算,亿级数据量,知名互联网","['5', '10']",5,"['30', '60']",30
上海翡鹿信息技术服务有限公司,上海翡鹿信息技术服务有限公司,50-150人,不需要融资,浦东新区,高级大数据开发工程师,5-10年,本科,18k-25k,"晋升快,平台大,美女多,扁平化","['5', '10']",5,"['18', '25']",18
上海二三四五网络科技有限公司,2345.com,500-2000人,上市公司,浦东新区,大数据开发工程师（2345贷款王）,5-10年,本科,20k-40k,"上市公司,技术大牛多,风控大数据,年终奖丰富","['5', '10']",5,"['20', '40']",20
德佑房地产经纪有限公司,链家上海研发中心,500-2000人,B轮,静安区,大数据开发工程师,3-5年,本科,15k-25k,大平台 高挑战 高成长,"['3', '5']",3,"['15', '25']",15
工匠广告传播（上海）有限公司,NORMCORE,15-50人,不需要融资,长宁区,大数据专家,5-10年,硕士,30K-60K,工资面议,"['5', '10']",5,"['30', '60']",30
百联全渠道电子商务有限公司,百联全渠道电商,500-2000人,不需要融资,黄浦区,资深大数据研发工程师,5-10年,本科,20k-40k,"集团项目,数据量大","['5', '10']",5,"['20', '40']",20
上海管易云计算软件有限公司,管易云,150-500人,不需要融资,浦东新区,大数据开发,3-5年,本科,20k-30k,成熟平台 福利齐全 领导nice 技术导向,"['3', '5']",3,"['20', '30']",20
上海脉豪商务信息咨询有限公司,眸事网,150-500人,天使轮,虹口区,大数据开发,1-3年,本科,10k-15k,"互联网公司,大数据平台,活力年轻,弹性8h","['1', '3']",1,"['10', '15']",10
上海阜登管理咨询有限公司,上海阜登,50-150人,不需要融资,静安区,大数据开发工程师,3-5年,本科,20k-40k,数据开发,"['3', '5']",3,"['20', '40']",20
上海媒智科技有限公司,媒智科技,15-50人,不需要融资,徐汇区,大数据开发工程师,1-3年,本科,10k-20k,"氛围好,人性话,机会多,成就感强","['1', '3']",1,"['10', '20']",10
上海触乐信息科技有限公司,触宝,150-500人,D轮及以上,徐汇区,高级大数据工程师,1-3年,本科,25k-45k,"独角兽,大牛云集,发展空间大,职位晋升快","['1', '3']",1,"['25', '45']",25
上海即果信息技术有限公司,即刻,50-150人,C轮,杨浦区,中高级大数据工程师,3-5年,本科,20k-40k,"产品有潜力,技术导向,技术氛围浓,福利超多","['3', '5']",3,"['20', '40']",20
上海钢银电子商务股份有限公司,上海钢银,500-2000人,上市公司,宝山区,大数据开发工程师,3-5年,本科,15k-25k,"周末双休,股权激励,带薪年假,五险一金","['3', '5']",3,"['15', '25']",15
苏州工业园区凌志软件股份有限公司,凌志软件,2000人以上,上市公司,浦东新区,大数据研发工程师（驻国泰君安）,1-3年,本科,12k-20k,金融大数据,"['1', '3']",1,"['12', '20']",12
南京华苏科技有限公司,华苏科技,2000人以上,上市公司,浦东新区,大数据开发工程师,3-5年,大专,16k-32k,"高薪,大平台","['3', '5']",3,"['16', '32']",16
和金在线（北京）科技有限公司,和金在线,150-500人,C轮,徐汇区,大数据开发工程师,3-5年,本科,15k-25k,"五险一金,补贴福利,股票期权,各类奖金","['3', '5']",3,"['15', '25']",15
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,浦东新区,大数据研发工程师,不限,本科,20k-40k,"平台大,福利好,弹性工作",[],0,"['20', '40']",20
上海飞未信息技术有限公司,上海飞未,50-150人,未融资,徐汇区,高级软件工程师（大数据）,3-5年,本科,9k-18k,"弹性工作,绩效激励,10天年假,扁平化管理","['3', '5']",3,"['9', '18']",9
电通安吉斯（上海）投资有限公司,电通安吉斯,2000人以上,上市公司,黄浦区,Development Manager，大数据,3-5年,本科,25k-30k,"外企福利,大平台,新天地办公","['3', '5']",3,"['25', '30']",25
无锡华云数据技术服务有限公司,华云数据,500-2000人,D轮及以上,杨浦区,14-大数据总监,10年以上,本科,20k-40k,各项补贴 节日福利 弹性上下班 年度旅游,['10'],10,"['20', '40']",20
上海数据交易中心有限公司,上海数据交易中心,50-150人,不需要融资,闸北区,大数据研发工程师,1-3年,硕士,12k-24k,"大数据行业,顶级团队,新技术培训","['1', '3']",1,"['12', '24']",12
珠海横琴极盛科技有限公司,极盛科技,500-2000人,上市公司,浦东新区,大数据软件工程师,1-3年,本科,15k-30k,1年16薪,"['1', '3']",1,"['15', '30']",15
远东国际租赁有限公司,远东国际租赁有限公司,2000人以上,上市公司,浦东新区,高级大数据工程师,3-5年,本科,25k-40k,"扁平化,弹性工作,技术牛,发展机会多","['3', '5']",3,"['25', '40']",25
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,大数据总监,5-10年,本科,25k-50k,"五险一金,节日福利,季度旅游,水果下午茶","['5', '10']",5,"['25', '50']",25
同程网络科技股份有限公司,同程艺龙,2000人以上,D轮及以上,普陀区,大数据系统研发工程师,3-5年,本科,25k-40k,福利待遇、发展前景,"['3', '5']",3,"['25', '40']",25
上海比领网络科技有限公司,比领网络,50-150人,未融资,徐汇区,大数据负责人,3-5年,本科,20k-30k,大数据,"['3', '5']",3,"['20', '30']",20
