公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京创源微致软件有限公司,创源微致,150-500人,不需要融资,海淀区,图像算法工程师,3-5年,硕士,20k-40k,"公司配股,丰厚年终奖,五险一金,上市前景"
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,视频分析算法工程师,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京虎鲸跳跃科技有限公司,虎鲸科技,15-50人,不需要融资,海淀区,图像算法工程师,1-3年,硕士,20k-40k,"五险一金,年底双薪"
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,语音合成算法工程师（TTS）,1-3年,硕士,20k-40k,人工智能 项目奖金 五险一金 半年调薪
北京博创时代科技有限公司,博创时代,少于15人,不需要融资,朝阳区,大数据算法研究员,1-3年,硕士,15k-25k,"扁平化管理,五险一金,地铁直达,办公环境优"
佳讯飞鸿（北京）智能科技研究院有限公司,佳讯飞鸿智能科技研究院,50-150人,不需要融资,海淀区,人工智能工程师（视频分析算法研发）,3-5年,硕士,20k-30k,"五险一金,补充医疗,餐补,节日福利"
芯视界（北京）科技有限公司,芯视界（北京）科技有限公司,50-150人,不需要融资,海淀区,图像算法工程师,不限,硕士,20k-35k,"技术领域,研发支持,优秀团队,丰厚待遇"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,算法/数据挖掘（风控）,1-3年,硕士,15k-25k,"福利待遇好,技术驱动型,弹性工作,成长空间大"
北京太合音乐文化发展有限公司,太合音乐（百度音乐）,500-2000人,不需要融资,朝阳区,推荐算法架构师,5-10年,硕士,20k-40k,"牛人多,平台大,发展好"
天地融软件（北京）有限公司,天地融,500-2000人,不需要融资,海淀区,人脸识别算法工程师,不限,硕士,15k-25k,"弹性工时,交通补助,饭补,绩效奖金"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,机器学习算法工程师或专家（北京）,不限,硕士,15k-30k,"世界50强,带薪年假,节日福利,绩效丰厚"
北京小鸟看看科技有限公司,Pico VR （小鸟看看）,150-500人,不需要融资,海淀区,深度学习算法工程师,1-3年,硕士,20k-40k,"风口行业,产品新锐,团队靠谱,公司稳定"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,自然语言处理算法工程师或专家（北京）,不限,硕士,15k-30k,"世界50强,带薪年假,节日福利,绩效丰厚"
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,高级/资深视频算法工程师,1-3年,硕士,15k-20k,"弹性工作,平台大,业务前景好"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,高级策略算法工程师-大数据(J12031),1-3年,硕士,20k-40k,五险一金
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,深度学习语音算法工程师或专家（北京）,不限,硕士,15k-30k,"世界50强,带薪年假,节日福利,绩效丰厚"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,深度学习图像算法工程师或专家（北京）,不限,硕士,15k-30k,"世界50强,带薪年假,节日福利,绩效丰厚"
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,联机手写识别算法工程师（HWR）,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,指纹识别算法工程师（FPR）,1-3年,硕士,20k-40k,公司氛围好 技术大拿多 项目奖金
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,模式识别算法工程师,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,图像目标检测算法工程师（IOD）,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,人脸识别算法工程师（AFR）,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,智能问答算法工程师（QA）,1-3年,硕士,20k-40k,人工智能 项目奖金 五险一金 半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,算法开发工程师（C++),1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,语音信号处理算法工程师（SSP),1-3年,硕士,20k-40k,高新技术企业 项目奖金 技术大拿多
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,深度学习算法研究工程师,1-3年,硕士,20k-40k,人工智能、五险一金、项目奖金、半年调薪
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,光学字符识别算法工程师（OCR）,1-3年,硕士,20k-40k,公司氛围好 技术大拿多 项目奖金
杉数科技（北京）有限公司,杉数科技,50-150人,A轮,东城区,算法工程师,不限,硕士,20k-40k,大牛带领 精英团队 成长空间 高薪酬福利
杭州云脑科技有限公司,云脑科技,15-50人,A轮,朝阳区,算法工程师,3-5年,硕士,18k-36k,"五险一金,零食饮料,弹性工作,硅谷团队"
深思考人工智能机器人科技（北京）有限公司,深思考人工智能机器人,50-150人,A轮,海淀区,机器学习与算法工程师/研究员,不限,硕士,15k-30k,"前沿公司,大平台"
慧安金科（北京）科技有限公司,慧安金科,50-150人,A轮,海淀区,算法工程师,5-10年,硕士,20k-40k,"技术大牛,五险一金,无限发展"
北京凌宇智控科技有限公司,凌宇智控科技,50-150人,A轮,朝阳区,算法工程师,3-5年,硕士,20k-40k,"上升空间大,团队氛围好,股票期权,领导好"
北京纳米维景科技有限公司,纳米维景,50-150人,A轮,海淀区,高级算法工程师,3-5年,硕士,18k-30k,"六险一金,年底双薪,福利优厚,休闲餐点"
Swissmic SA,Swie,15-50人,A轮,海淀区,算法工程师,1-3年,硕士,20k-30k,"快速成长,期权,国际化,欢乐气氛"
北京清帆科技有限公司,清帆科技,15-50人,A轮,海淀区,高级算法工程师,1-3年,硕士,20k-40k,"技术大咖,期权激励,晋升空间大,优秀团队"
北京心中有数科技有限公司,KuWeather,15-50人,A轮,海淀区,资深算法工程师,3-5年,硕士,20k-35k,"大牛团队,前沿技术,十四薪,年终奖"
北京侃家科技有限公司,侃家,500-2000人,B轮,东城区,人工智能 &amp; 算法工程师,不限,硕士,20k-40k,"空间广阔,大数据,深度学习"
北京吉荣数科技有限公司,吉荣数,50-150人,A轮,东城区,算法工程师,3-5年,硕士,20k-35k,"大咖亲代,交通便利,工作弹性,晋升空间大"
北京原子机器人科技有限公司,原子机器人,15-50人,天使轮,海淀区,高级算法工程师,3-5年,硕士,20k-40k,"五险一金,期权激励,公司氛围好,团队年轻化"
北京联合天成价值网络科技有限公司,联合天成,15-50人,A轮,海淀区,算法工程师,应届毕业生,硕士,15k-20k,"行业前景好,领导和善,免费下午茶,上升空间大"
