公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,大数据研发工程师,1-3年,本科,20k-40k,"大平台,牛人多,成长空间大,福利好"
北京快松果科技有限公司,松果电单车,150-500人,C轮,朝阳区,大数据运维工程师,3-5年,大专,15k-25k,"14薪,带薪年假,节日礼物"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,大数据开发工程师,1-3年,本科,18k-36k,弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，职业大牛，晋升空间，五险一金
北京亿玛创新网络科技有限公司,亿玛在线-互联网营销领航者,500-2000人,上市公司,朝阳区,大数据运维工程师,3-5年,本科,15k-25k,15薪，弹性工作时间，六险一金，每月TB
北京云知声信息技术有限公司,云知声,150-500人,C轮,朝阳区,大数据开发工程师(J10119),3-5年,本科,15k-30k,"六险一金,年终多薪,人工智能,技术大牛"
北京钛核互动信息技术有限公司,钛核互动,50-150人,天使轮,朝阳区,大数据工程师,1年以下,本科,7k-13k,上升空间大
北京麒麟合盛科技有限公司,APUS Group,150-500人,B轮,朝阳区,大数据工程师（数据仓库方向）,5-10年,本科,20k-40k,"年底双薪,餐补,车补,房补"
京东金融,京东金融,2000人以上,上市公司,大兴区,大数据开发工程师,3-5年,本科,18k-35k,"班车,餐补"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,大数据开发工程师,1-3年,本科,20k-40k,"期权奖励,技术大牛,14薪酬,七险一金"
北京百乘科技有限公司,百乘金控,500-2000人,上市公司,朝阳区,大数据开发工程师,3-5年,本科,20k-35k,"五险一金,带薪年假,节日福利"
途家网网络技术（北京）有限公司,途家网,500-2000人,D轮及以上,朝阳区,大数据工程师,3-5年,本科,15k-30k,发展前景好
